# Number of sources: 18450
# RA (deg), Dec (deg), I (Jy), Q (Jy), U (Jy), V (Jy), Ref. freq. (Hz), Spectral index, Rotation measure (rad/m^2), FWHM major (arcsec), FWHM minor (arcsec), Position angle (deg)
 356.094788, -36.001720, 1.680335e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.073198e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.606873, -35.827351, 1.109804e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.604254e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.363495, -35.704849, 1.138656e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.743108e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.686951, -35.649170, 2.360258e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 2.191119e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 357.555450, -35.806896, 1.717348e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.027015e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 357.051880, -35.886257, 1.866730e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-4.399339e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 357.851410, -35.774361, 1.982311e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.390345e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 354.930542, -35.984909, 2.105116e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-3.714774e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 355.220184, -35.909836, 8.522570e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.510585e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.418915, -35.605732, 2.565720e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.663486e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.575562, -35.553596, 1.003648e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.107930e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 356.334991, -35.690395, 1.115854e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.692726e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 355.821930, -35.678432, 1.261810e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.211426, -35.419098, 4.305319e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.856459e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.040131, -35.437366, 1.267776e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-4.468301e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 355.237854, -35.649853, 1.139470e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.017886e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 358.706787, -35.338951, 1.667681e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.260367e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 357.591461, -35.444229, 1.188421e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.374260e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 359.656586, -35.231331, 3.780119e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.135588e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 356.047852, -35.549320, 7.487229e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.495844e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
